Autor,Obra
Stephen King,La niebla
Stephen King,El resplandor
Stephen King,It
Stephen King,Carrie
Stephen King,Saga: La torre Oscura
Stephen King,Doctor sueño
Stephen King,Christine
H.P. Lovecraft,La botella de cristal
H.P. Lovecraft,La cueva secreta
H.P. Lovecraft,Lo que trae la luna
H.P. Lovecraft,El alquimista
H.P. Lovecraft,La llamada de Cthhulhu
Edgar Allan Poe,El gato negro
Edgar Allan Poe,Un sueño
Edgar Allan Poe,La caida de la casa Usher
Edgar Allan Poe,Los crimenes de la calle Morgue
Amanda Hocking,Lazos de sangre: Instinto
Amanda Hocking,Tierra de magia: El viaje 
Amanda Hocking,Tierra de magia: La ascension
Amanda Hocking,Virtue
Bram Stoker,Dracula
Bram Stoker,La joya de la siete estrellas
Bram Stoker,La guarida del gusano blanco
Bram Stoker,El invitado de dracula
Bram Stoker,La mujer india
Bram Stoker,Crystal Cup
Mary Shelly,Frankenstein
Anne Rice,Entrevista con el vampiro
Anne Rice,La voz del diablo
Anne Rice,El santuario
Anne Rice,La reina de los condenados
Anne Rice,La comunidad de la sangre
