Autor,Obra
Sthephen Hawking,Breve historia del tiempo
Sthephen Hawking,Breves respuestas a las grandes preguntas
Sthephen Hawking,La teoria del todo
Sthephen Hawking,El universo en una cascara de nuez
Sthephen Hawking,Agujeros negros y pequeños universos y otros ensayos 
Sthephen Hawking,A hombros de gigantes
Charles Darwin,El origen de las especies
Charles Darwin,La fecundación de las orquideas
Charles Darwin,La formación de moho vegetal por la acción de los gusanos
Charles Darwin,El viaje de Beagle
Charles Darwin,Las distintas formas de las flores en plantas de la misma especie
Charles Darwin,Los movimientos y hábitos de la trampas trepadoras
Charles Darwin,Correspondencia
Richard Dawkins ,El espejismo de dios
Richard Dawkins ,La magia de la realidad
Richard Dawkins ,El fenotipo extendido
Richard Dawkins ,Escalando el mote improbable
Richard Dawkins ,La ciencia en el alma
Richard Dawkins ,El capellan del diablo
Javier Santoalalla,El bosón de Higgs no te va a hacer la cama
Javier Santoalalla,Iteligencia Física
Javier Santoalalla,Este año el bosón tampoco te va hacer la cama
Rachel Carson,Primavera silenciosa
Rachel Carson,El mar que nos rodea
Rachel Carson,El mar
