Autor,Obra
Michel Foucault,Vigilar y castigar
Michel Foucault,Las palabras y las cosas
Michel Foucault,La arqueología del saber
Michel Foucault,El nacimiento de la clínica
Michel Foucault,Qué es un autor?
Michel Foucault,Microfísica del poder
Jordan Peterson,12 Reglas para la vida
Platon,Diílogos socráticos
Platon,La opología de Sócrates
Platon,La republica
Platon,Dialogos
Platon,El banquete
Natsume Soseki,"Yo, el gato"
Rene Descartes, El arte de dudar
Rene Descartes,El discuros del metodo
Rene Descartes,Meditaciones metafísicas
Rene Descartes,El metodo de las figuras
