Autor,Obra
Barbara Tuchman,El telegrama Zimmerman
Barbara Tuchman,La torre del orgullo
Barbara Tuchman,Los cañones de agosto
Barbara Tuchman,La marcha de la locura: La sinrazón desde Troya hasta Vietnam
Barbara Tuchman,Un espejo distante: el calamitoso siglo XIV
Gillermo Barba,La conspiradora
Gillermo Barba,La insurrecta
Unberto Eco,El nombre de la rosa
Mark Sullivan,Bajo un cielo escarlata
Mark Sullivan,El ultimo valle verde
Sofia Guadarrama Collado,La conquista de México Tenochtitlan
