Autor,Obra
Jenny Arthur,Los tres cerditos y el lobo
Jenny Arthur,Mi gran libro de los monstruos
Jenny Arthur,Hogar dulce hogar
Rose Lagercrantz,Mi vida feliz
Rose Lagercrantz,La vida según Dani
Rose Lagercrantz,Nos vemos cuando te vea
Eulalia Canal,Los fantasmas no llaman a la puerta
Eulalia Canal,Luz ilumina la diselexia
Eulalia Canal,Un beso de mandarina
Eulalia Canal,Un poema en la barriga
Antoine de Saint-Exupeéry,El principito
Francisco Hinojosa,La peor señora del mundo
Francisco Hinojosa,A golpe de calcetin
Francisco Hinojosa,El peor día de mi vida
Francisco Hinojosa,Léperas contra mocosos
Francisco Hinojosa,El castigo de lucas
Francisco Hinojosa,De domingo a lunes
Anthony Horowitz,La granja Grhooshman
Anthony Horowitz,El grial oculto
